Chapitre;Mise en ligne;Revision;Telechargement
Mise en place allègements filière encadrement 1 janvier 2016;2015-11-21;2016-01-01;http://www.ffessm.fr/gestionenligne/manuel/Mise en place allègements filière encadrement 1 janvier 2016.pdf
Introduction MFT;2014-09-16;2014-09-01;http://www.ffessm.fr/gestionenligne/manuel/44_Introduction_MFT.pdf
Couverture;2012-05-27;2012-02-01;http://www.ffessm.fr/gestionenligne/manuel/01-Couverture.pdf
Généralités;2015-08-26;2015-06-01;http://www.ffessm.fr/gestionenligne/manuel/02_Generalites.pdf
Historique des certifications CTN;2014-03-25;2014-03-01;http://www.ffessm.fr/gestionenligne/manuel/45_Historique_certifications_CTN.pdf
Regles generales certification;2014-09-16;2014-09-01;http://www.ffessm.fr/gestionenligne/manuel/47_regles_générales_certification_plongeurs_air.pdf
Pack découverte-PE12;2015-06-20;2015-05-01;http://www.ffessm.fr/gestionenligne/manuel/03_Pack_decouverte_PE12.pdf
Qualification PA12;2016-01-01;2016-01-01;http://www.ffessm.fr/gestionenligne/manuel/46_Qualification_PA12m.pdf
Niveau 1;2016-01-01;2016-01-01;http://www.ffessm.fr/gestionenligne/manuel/04_Plongeur_niveau_1.pdf
Qualification PA20m de plongeur autonome à 20 m;2016-01-01;2016-01-01;http://www.ffessm.fr/gestionenligne/manuel/05_Qualification_PA20m.pdf
Plongeur Niveau 2;2016-01-01;2016-01-01;http://www.ffessm.fr/gestionenligne/manuel/06_Plongeur_niveau_2.pdf
Qualification PE40m de plongeur encadré à 40 m;2016-01-01;2016-01-01;http://www.ffessm.fr/gestionenligne/manuel/07_Qualification_PE40m.pdf
Qualification PA40m de plongeur autonome à 40 m;2016-01-01;2016-01-01;http://www.ffessm.fr/gestionenligne/manuel/08_Qualification_PA40m.pdf
"Qualification PE60m ""plongeur encadré 60 mètres""";2016-01-01;2016-01-01;http://www.ffessm.fr/gestionenligne/manuel/43_Qualification_PE60m.pdf
Plongeur Niveau 3;2016-01-01;2016-01-01;http://www.ffessm.fr/gestionenligne/manuel/09_Plongeur_niveau_3.pdf
Plongeur niveau 4 Guide de palanquée;2016-01-01;2016-01-01;http://www.ffessm.fr/gestionenligne/manuel/10_Guide_de_Palanquee_N4.pdf
Guide de palanquée associé;2015-02-16;2015-02-01;http://www.ffessm.fr/gestionenligne/manuel/11_Guide_palanquee_associe.pdf
Plongeur Niveau 5 - Directeur de plongée;2016-01-01;2016-01-01;http://www.ffessm.fr/gestionenligne/manuel/12_Directeur_de_Plongee_N5.pdf
Initiateur;2016-01-01;2016-01-01;http://www.ffessm.fr/gestionenligne/manuel/13_Initiateur.pdf
Moniteur Fédéral 1er degré;2016-01-01;2016-01-01;http://www.ffessm.fr/gestionenligne/manuel/14_MF1.pdf
Tuteur de stage initiateur;2016-01-01;2016-01-01;http://www.ffessm.fr/gestionenligne/manuel/15_Tuteur_de_stage_initiateur.pdf
Moniteur Fédéral 2ème degré;2016-01-01;2016-01-01;http://www.ffessm.fr/gestionenligne/manuel/16_MF2.pdf
Moniteurs associés;2015-09-30;2015-09-01;http://www.ffessm.fr/gestionenligne/manuel/17_Moniteurs_associes.pdf
Passerelles FFESSM / PADI et FFESSM / SSI;2015-06-20;2015-05-01;http://www.ffessm.fr/gestionenligne/manuel/19_Passerelles_PADI_SSI.PDF
Qualifications plongée au nitrox;2014-07-08;2014-07-01;http://www.ffessm.fr/gestionenligne/manuel/20_Nitrox.pdf
Intégration des plongeurs professionnels;2014-03-25;2014-03-01;http://www.ffessm.fr/gestionenligne/manuel/18_Intégration des plongeurs professionnels.pdf
Qualification plongée au trimix;2013-12-11;2013-11-01;http://www.ffessm.fr/gestionenligne/manuel/21_Trimix.pdf
Qualifications plongée au recycleurs;2013-12-11;2013-11-01;http://www.ffessm.fr/gestionenligne/manuel/22_Recycleur.pdf
Qualifications plongée au recycleurs à circuit fermé Inspiration;2015-06-20;2015-06-01;http://www.ffessm.fr/gestionenligne/manuel/23_Recycleur_ferme_inspiration.pdf
Qualifications plongée au recycleurs à circuit fermé submatix quantum;2015-06-20;2015-06-01;http://www.ffessm.fr/gestionenligne/manuel/48_Recycleur_ferme_submatix.pdf
RIFAP Réactions et Intervention face à un Accident de Plongée;2013-12-11;2013-11-01;http://www.ffessm.fr/gestionenligne/manuel/24_RIFA_Plongee.pdf
ANTEOR Animer l'apprentissage des techniques d'oxygénothérapie-ranimation;2013-12-11;2013-11-01;http://www.ffessm.fr/gestionenligne/manuel/25_ANTEOR.pdf
Randonnée subaquatique;2013-01-01;2013-01-01;http://www.ffessm.fr/gestionenligne/manuel/29_Randonnee_subaquatique.pdf
Jeunes plongeurs;2015-08-26;2015-08-01;http://www.ffessm.fr/gestionenligne/manuel/30_Jeunes.pdf
Technicien en inspection visuelle et formateur de TIV;2013-12-11;2013-11-01;http://www.ffessm.fr/gestionenligne/manuel/31_TIV.pdf
Station de gonflage;2012-05-27;2012-02-01;http://www.ffessm.fr/gestionenligne/manuel/32_Station_de_gonflage.pdf
Qualification Vêtement étanche;2016-01-04;2016-01-01;http://www.ffessm.fr/gestionenligne/manuel/33_Vetement_etanche.pdf
SideMount de loisir;2016-01-01;2016-01-01;http://www.ffessm.fr/gestionenligne/manuel/49_sidemount_de_loisir.pdf
Extraits du Code du sport: Dispositions communes aux établissements organisant la pratique de la plongée subaquatique à l'air, à l'oxygène et aux mélanges autres que l'air (texte mis en page par la CTN);2012-06-20;2012-04-01;http://www.ffessm.fr/gestionenligne/manuel/34_Code_du_sport_2012_mep_CTN.pdf
Guide et conseils d'application du code du sport;2011-06-01;2010-07-01;http://www.ffessm.fr/gestionenligne/manuel/Guide_CTN_application_CdS_2012.pdf
Dopage : Informations et conseils pour la prévention du dopage;2011-06-01;2011-06-01;http://www.ffessm.fr/gestionenligne/manuel/36_Antidopage.pdf
Règlement et charte  d'examens;2015-08-26;2015-06-01;http://www.ffessm.fr/gestionenligne/manuel/37_Reglement_et_Charte_examens.pdf
Plongeurs en situation de handicap Conditions de pratiques - Brevets et qualifications des plongeurs et des moniteurs;2015-08-26;2015-08-01;http://www.ffessm.fr/gestionenligne/manuel/40_plongée_Handisub.pdf
Charte du moniteur fédéral 1er degré;2011-06-01;2011-06-01;http://www.ffessm.fr/gestionenligne/manuel/Charte_MF1.pdf
Charte du moniteur fédéral 2è degré;2011-06-01;2011-06-01;http://www.ffessm.fr/gestionenligne/manuel/Charte_MF2.pdf
BPJEPS;2014-03-25;2014-03-01;http://www.ffessm.fr/gestionenligne/manuel/38_BPJEPS.pdf
DEJEPS;2014-03-25;2014-03-01;http://www.ffessm.fr/gestionenligne/manuel/39_DEJEPS.pdf
EXPLORATEURS 6 et 20m UCPA;2012-05-23;2012-05-01;http://www.ffessm.fr/gestionenligne/manuel/41_explorateur_6m_et_20m_UCPA.pdf
